Universidad de A Coruña, dominio_email_alumnos : @alu.udc.es, dominio_email_profesores : @udc.es
Universidad de Santiago de Compostela, dominio_email_alumnos : @alu.usc.es, dominio_email_profesores : @usc.es
Universidade de Vigo, dominio_email_alumnos : @alumnos.uvigo.es, dominio_email_profesores : @uvigo.es
Universitat de las Illes Balears, dominio_email_alumnos : @alu.uib.es, dominio_email_profesores : @uib.es
Universidad de La Rioja, dominio_email_alumnos : @alu.unirioja.es, dominio_email_profesores : @unirioja.es
Universidad Internacional de la Rioja, dominio_email_alumnos : @alu.unir.net, dominio_email_profesores : @unir.net
Universidad Mondragon Unibertsitatea, dominio_email_alumnos : @alumnos.mondragon.es, dominio_email_profesores : @mondragon.edu
Universidad de Deusto, dominio_email_alumnos : @alu.deusto.es, dominio_email_profesores : @deusto.es
Universidad del País Vasco, dominio_email_alumnos : @alu.ehu.eus, dominio_email_profesores : @ehu.eus
Universidad de Oviedo, dominio_email_alumnos : @alu.uniovi.es, dominio_email_profesores : @uniovi.es
Universidad Politécnica de Cartagena, dominio_email_alumnos : @alu.upct.es, dominio_email_profesores : @upct.es
Universidad Católica San Antonio de Murcia, dominio_email_alumnos : @alu.ucam.edu, dominio_email_profesores : @ucam.edu
Universidad de Murcia, dominio_email_alumnos : @alu.um.es, dominio_email_profesores : @um.es
